0,18.90706023135221%
1,40.04786597526924%
2,48.50418827283606%
3,50.29916234543279%
4,55.72397287594736%
5,68.56800957319506%
6,60.311128839250095%
7,59.912245712006374%
8,46.4698843238931%
9,63.023534104507384%
10,63.30275229357798%
0,18.90706023135221%
1,20.502592740327085%
2,28.24092540885521%
3,38.65177502991623%
4,41.16473873155166%
5,47.38731551655365%
6,45.073793378540095%
7,48.82329477463103%
8,45.6322297566813%
9,61.06900678101317%
10,55.28520143597926%
layer error KNN,58.55604307937774%
calculated error KNN,58.15715995213403%
