0,28.727272727272723%
1,30.000000000000004%
2,35.63636363636364%
3,37.09090909090909%
4,39.27272727272727%
5,38.54545454545455%
6,36.727272727272734%
7,36.54545454545455%
8,54.72727272727273%
9,54.0%
10,36.54545454545454%
0,28.727272727272723%
1,24.0%
2,24.363636363636363%
3,20.90909090909091%
4,21.090909090909093%
5,22.90909090909091%
6,26.727272727272727%
7,27.27272727272727%
8,30.545454545454547%
9,53.090909090909086%
10,46.72727272727273%
layer error KNN,52.54545454545454%
calculated error KNN,46.72727272727273%
